Reaction	Flux
R_PROT_pe_CbhA_S	0
R_GLUPRT	0.10519090945988713
R_EX_bromosucc_e_	0
R_EX_g3ps_e_	0
R_EX_protein_RSc0249_e_	0
R_UAG2E	0
R_TARTRDH	0
R_BHBt2pp	0
R_T3SS_E_RipR_S	0
R_EX_T3SS_E_RipF1_e_	0
R_HYXNtex	0
R_FUMAC	0
R_METTRS	0.02545702409491937
R_MI3PP	0
R_XYLUabcpp	0
R_ADOCBIK	0
R_PROT_Tek_BioS	2.7e-4
R_T3SS_E_RipG4_S	0
R_GLUCYS	6.24384741970657e-5
R_OCDCEAtex	0
R_PE141abcpp	0
R_PROT_RSp0540_BioS	0
R_UAG2EMA	0
R_TARTRDH2	0
R_MLTGY2pp	0
R_T3SS_E_RipAL_S	0
R_PSD160	0.005014677456813662
R_3HAD60	0.05459270958878956
R_EX_sel_e_	0
R_DM_incbase	0
R_QULNS	6.378244135425339e-4
R_BHEXAMD	0
R_G3PEtex	0
R_MCITL2	0
R_PSD161	0.002984727062514441
R_T3SS_E_RipP2_S	0
R_MDDEP4pp	0
R_ADOCBLabcpp	0
R_PROT_pe_Expansin_S	0
R_T3SS_E_RipW_BioS	0
R_PGP120abcpp	0
R_EDTXS5	0.0029903269256711293
R_4HPHEAt3r	0
R_PROT_pe_RSc0337_S	0
R_EX_inost_e_	0
R_EX_protein_RSp0294_e_	0
R_ACCtpp	0
R_2MAHMP	0
R_PROT_RSp1180_BioS	0
R_PC8XM	6.24384741970657e-5
R_PROT_ce_RSc0102_S	0
R_GLTN2c	0
R_Naldxteff	0
R_PROT_pe_RSp1539_S	0
R_Canatpc	0
R_VNDH	0
R_2AGPE120tipp	0
R_NO3t7pp	0
R_PPBNGS	7.492616903647886e-4
R_AGM3PApp	0
R_ACALD	0
R_AACOAR	0
R_DAAD	0
R_DRBK	0
R_METTRSS	0
R_NACt1pp	0
R_3HAD80	0.05459270958878956
R_ADPT	0.002727897004181094
R_PGPP120pp	0
R_GLYCLTt2rpp	0
R_EX_melanin_e_	0
R_T3SS_E_RipAP_BioS	0
R_GLNTRS	0.08264214543100745
R_EX_PCW_RSp1539_e_	0
R_UAG4E	0.061999999999999986
R_CGLYabcpp	0
R_MGSA	0
R_PSD140	0
R_IPPS	0.09384610916752963
R_PSD141	0
R_EX_pc180_e_	0
R_ALAASPtex	0
R_NAPRTr	6.243847419706569e-5
R_23CCMPtex	0
R_KARA1	-0.2109608967308044
R_EX_T6SS_E_RSp0103_e_	0
R_ASPTA	-0.7417940444941499
R_CLt3_2pp	7.286821932639619e-4
R_OXCOAHDH	0
R_IPDPS	0
R_EX_doxrbcn_e_	0
R_PROT_pe_PglA_S	0
R_CPH4S	0
R_FGLU	0
R_GLYTRS	0.18173948874794116
R_PCW_bd_Expansin	0
R_T3SS_E_RipS3_S	0
R_FRUtex	0
R_BTS5	5.599863156687506e-7
R_T3SS_E_RipA2_BioS	0
R_HMSD	0
R_OIVD2	0
R_cafetex	0
R_AGt3pp	0
R_AM6SAD	0
R_EX_protein_Tek2_e_	0
R_T3SS_E_RipG1_BioS	0
R_EX_adocbl_e_	0
R_GALtex	0
R_CSND	0
R_T3SS_E_RipF1_S	0
R_twitching	0
R_ADOCBLS	6.24384741970657e-5
R_THDPS	0.05194326262680823
R_3HOXIDtpp	0
R_KARA2	0.05237889156916883
R_EX_hom_L_e_	0
R_ARBTNLtex	0
R_PSD120	0
R_TRPTRS	0.0011871709892177513
R_INSTtex	0
R_ALTRH	0
R_T3SS_E_RipAW_BioS	0
R_SERTRS	0.07914487501812559
R_PROT_pe_RSc3188_S	0
R_PROTRS	0.15318318863656163
R_3HAD40	0.05459270958878954
R_ADSK	0.04592674367225989
R_DADA	0
R_GLNGLYtex	0
R_EX_cm_e_	0
R_DNAd_no2r	0
R_ADSS	0.06974478884922397
R_EX_T3SS_E_RipAZ1_e_	0
R_EX_indpyr_e_	0
R_DADK	0
R_EX_cys_L_e_	0
R_UPPRTr	0
R_IND3ACLNtex	0
R_T3SS_E_RipAY_S	0
R_EX_protein_Pme_e_	0
R_DDCAtex	0
R_BUTSO3tex	0
R_EX_gthox_e_	0
R_RPI	-0.19763822765352282
R_DSBDR	0
R_VALabcpp	0
R_T3SS_E_RipH3_S	0
R_RPE	-0.20100318542437634
R_ANS	0.0011871709892177513
R_DHAtex	0
R_T3SS_E_RipP2_BioS	0
R_EX_acglu_L_e_	0
R_CD2teff_e	0
R_GNNUC	0
R_IPMDr	0.09384610916752961
R_PROT_cp_RSp1444_S	0
R_SUCCCOAMALTR	0
R_CD2abcpp	0
R_FBP	0.4832541734531513
R_ORNtex	0
R_MCCC	0
R_PIuabcpp	0
R_FECRMUtpp	0
R_EX_T3SS_E_RipW_e_	0
R_PROT_pe_RSp0630_S	0
R_T3SS_E_RipI_BioS	0
R_2AGPE181tipp	0
R_EX_cellb_e_	0
R_O2tex	22.82781180796809
R_GLUTRS	0.08009066881173704
R_GLUTRR	0.001498523380729577
R_EXOPP	0
R_EX_T3SS_E_RipL_e_	0
R_GALCTND	0
R_MDDCP4pp	0
R_Kt3pp	0
R_AGM3PA	0
R_CMtpp	0
R_EX_ocdcea_e_	0
R_SRHCC	0
R_ORN5MOO	0
R_PMEACPE	5.599863156687507e-7
R_ADK1	-5.060206496662681
R_GRTT	1.402765720750264e-4
R_ADK2	0
R_AGM3PH	0
R_EXOPGALUR_2u	0
R_GLYOX	0
R_FBA	-0.48325417345315125
R_DOXRBCNtpp	0
R_EX_T6SS_E_RSc0958_e_	0
R_T3SS_E_RipAH_S	0
R_HMGL	0
R_PROT_RSp1139_BioS	0
R_ADK3	0
R_ACOATA	0
R_ADK4	0
R_APRAUR	1.8731542259119713e-4
R_PROT_RSp0630_BioS	0
R_MCCDNtex	0
R_GDPDPK	0
R_FE2t3pp	0
R_FDR	8.562190766575677e-4
R_MECDPDH3	8.562190766575677e-4
R_EX_protein_RSp1444_e_	0
R_PHBD	0
R_EX_ampi_e_	0
R_CYTCO_4pp	3.746308451824248e-4
R_PC11M	6.24384741970657e-5
R_3NTD7pp	0
R_4HPHACtex	0
R_SBTabcpp	0
R_GAPD	-1.1428966179668032
R_4OD3	0
R_ENDOGLAS	0
R_EX_T3SS_E_RipP2_e_	0
R_PPPGO	1.248769483941314e-4
R_PSP_L	0.39246517470686
R_LPLIPAL1A120pp	0
R_PG140abcpp	0
R_ALCD19y	0
R_HCOMODA	0
R_PHCD	0
R_ZN2t3pp	0
R_GLUDx	5.362511432723416
R_PG181abcpp	9.071778313833762e-4
R_ATHRDH	0
R_EX_no3_e_	0
R_EX_12dgr141_e_	0
R_MNL2DH	0
R_XANtex	0
R_EX_3hcinnm_e_	0
R_EX_skm_e_	0
R_FRUpts2pp	0
R_ILEtex	0
R_T3SS_E_RipTAL_BioS	0
R_DCTPD	0
R_PC17M	6.24384741970657e-5
R_FACOAL140t2pp	0
R_T3SS_E_RipU2_BioS	0
R_PA181abcpp	0
R_T3SS_E_RipN_BioS	0
R_PGPP120	0
R_GLYKr	0.0022735444416151275
R_EX_cro4_e_	0
R_DTMPK	0.004729084435822609
R_NODOy	0
R_ETHSO3abcpp	0
R_SUCOAS	-9.463107408647616
R_Tomteff	0
R_T3SS_E_RipB_BioS	0
R_NNAMr	0
R_EX_T6SS_E_RSp0745_e_	0
R_G3PD5	0
R_EX_taur_e_	0
R_2AGPA141tipp	0
R_GTPCI	1.8731542259125807e-4
R_MCCDNS1	0
R_CMB34OELH	0
R_2AGPG141tipp	0
R_T3SS_E_RipS4_BioS	0
R_G3PD2	-0.025686572299725593
R_GTHOXtex	0
R_PROT_RSp0881_BioS	0
R_LPSS2_RS	0.002990326925671129
R_BIOFILM	0
R_ARGtex	0
R_EX_gal_e_	0
R_PGLYCP	0
R_EX_T3SS_E_RipAA_e_	0
R_12GLUCANabcppRS	0.004479890525350007
R_3OADPCOAT	0
R_EX_hxa_e_	0
R_EX_ca2__e_	0
R_FACOAL120t2pp	0
R_EX_14bglucan_e_	0
R_EX_mso3_e_	0
R_PROT_cp_PehB_S	0
R_PYNP1	0
R_T3SS_E_RipBA_BioS	0
R_PTPAT	1.612760589124523e-4
R_4HPHEA1	0
R_GRXR	0
R_LPLIPAL1G161pp	0
R_EX_protein_RSp0540_e_	0
R_GPDDA3pp	0
R_2AGPA161tipp	0
R_GMHEPPA	0.0029903269256711293
R_HACOAD4	0
R_EX_T3SS_E_RipAW_e_	0
R_UM4PL	0
R_PGPP141	0
R_PGPP140	0
R_EX_idon_L_e_	0
R_EX_nh4_e_	4.581692937685727
R_EX_T3SS_E_RipAL_e_	0
R_PRAIS	0.10519090945988713
R_TRE6PS	0.0013317874552392064
R_SULabcpp	0
R_ETHSO3tex	0
R_TRE6PP	0.0013317874552392064
R_EXOPGALUR_1u	0
R_SPMDabcpp	0
R_DMQMT	6.24384741970657e-5
R_ASPPROAS	0
R_ASPO5	6.37824413542534e-4
R_UAGCVT	0.018527147253900624
R_NBAH	0
R_ASPO1	0
R_ampitex	0
R_T3SS_E_RipAU_S	0
R_EX_T3SS_E_RipG3_e_	0
R_CLPNS140pp	0
R_ASPO6	0
R_PSD180	0.001231969894471252
R_PROT_pe_RSc1775_S	0
R_PSD181	0.0022987438258202215
R_NODOx	0
R_GSNtex	0
R_OMBZLM	6.24384741970657e-5
R_TSULabcpp	0
R_T3SS_E_RipTAL_S	0
R_ASPt2pp	0
R_THRTRS	0.12620603261769148
R_EX_ni2_e_	0
R_PRAGSr	0.10519090945988714
R_T3SS_E_RipAN_BioS	0
R_PGPP160	0.003572712693966629
R_2AGPE140tipp	0
R_PROT_cp_RSc0887_S	0
R_T3SS_E_RipA3_S	0
R_PGPP161	0.002125148067962909
R_GALOR	0
R_EX_T3SS_E_RipZ_e_	0
R_ALAGLNabcpp	0
R_PROT_RSc0102_ACT	0
R_TMPKr	6.24384741970657e-5
R_PCW_bd_RSp1180_act	0
R_EX_arbtnl_fe3_e_	0
R_EX_na1_e_	0
R_NTPP11	0
R_NTPP10	0
R_MLDCP3App	9.043778998050325e-4
R_EX_PCW_RSc0246_act_e_	0
R_MUCCY_kt	0
R_EX_octa_e_	0
R_TZEAtpp	0
R_EX_hxan_e_	0
R_EPStpp	0.006199999999999999
R_ALATRS	0.20164361348761803
R_PG120abcpp	0
R_G5SD	0
R_UGLT	0
R_HPYRRx	0
R_HPYRRy	0
R_D_LACtex	0
R_GLCURDH	0
R_MMSAD3	0
R_EX_T3SS_E_RipD_e_	0
R_GLYC3Pabcpp	0
R_3OAS120	0.03649871175005875
R_FMNRx2	0
R_3OAS121	0.01809315785925733
R_T3SS_E_RipAD_S	0
R_THRD	0
R_PACCOALr	0
R_ADCYRS	6.24384741970657e-5
R_T3SS_E_RipZ_S	0
R_CFAS180G	0
R_PGPP181	0.0016379599733310959
R_PGPP180	8.791785155999387e-4
R_PGAMT	-0.10802527528481462
R_SKM3PCT	0.10252704012409158
R_34HPPOR	0
R_SDPDS	0.05194326262680823
R_GALCTt2rpp	0
R_NO3R2	0
R_EX_2kmb_e_	0
R_PHEAT2	0
R_lpdperox5	0
R_PHEAT1	0.21973257144950786
R_lpdperox4	0
R_lpdperox3	0
R_FECRMUtex	0
R_ALAGLUabcpp	0
R_PROT_RSc3220_BioS	0
R_THRA2	0
R_MPTS	3.4159165255793786e-5
R_AGMHE	0.0029903269256711293
R_lpdperox2	0
R_HKNTDH	0
R_DOPAQNISO1ex	0
R_KAS14	0
R_lpdperox1	0
R_IDONtex	0
R_EX_arbtnl_e_	0
R_GALKr	0
R_MPTG	0.009038179134893638
R_KAS15	0.05459270958878955
R_UAGPT3	0.018527147253900624
R_T3SS_E_RipO1_BioS	0
R_T3SS_E_RipAY_BioS	0
R_3OAS100	0.054591869609316064
R_BDH	0
R_HEXHSLACtpp	0
R_EX_tungs_e_	0
R_CFAS180E	0
R_UAGDP	0.1080252752848146
R_Ktex	0.054652704457165226
R_ADEt2rpp	0
R_3NTD2pp	0
R_PROT_cp_RSp0540_S	0
R_EX_thr_L_e_	0
R_RALFtpp	0
R_GTHRDtex	0
R_EX_tyr_L_e_	0
R_DASYN181	0.003936703799151319
R_EX_34dhphe_e_	0
R_PE180abcpp	0
R_EX_12dgr161_e_	0
R_4PCP	0
R_Canatex	0
R_DASYN180	0.0021111484100711903
R_GTHRDabcpp	0
R_ALAabcpp	0
R_EX_fru_e_	0
R_EX_fecrm_e_	0
