ReactionID,Equation
EX_hdcea_b,hdcea_b --> 
EX_RSc1944_b,RSc1944_b --> 
EX_3oochslac_b,3oochslac_b --> 
EX_glu_D_b,glu_D_b --> 
EX_RipS4_b,RipS4_b --> 
EX_fecrm_b,fecrm_b --> 
EX_ni2_b,ni2_b --> 
EX_RipK_b,RipK_b --> 
EX_berb_b,berb_b --> 
EX_tartr_L_b,tartr_L_b --> 
EX_octa_b,octa_b --> 
EX_orn_b,orn_b --> 
EX_34dhphe_b,34dhphe_b --> 
EX_tungs_b,tungs_b --> 
EX_RSp0295_act_b,RSp0295_act_b --> 
EX_PehB_b,PehB_b --> 
EX_g3pi_b,g3pi_b --> 
EX_gthox_b,gthox_b --> 
EX_RSp0629_b,RSp0629_b --> 
EX_RipAX2_b,RipAX2_b --> 
EX_mg2_b,mg2_b <=> 
EX_RipX_b,RipX_b --> 
EX_RipAI_b,RipAI_b --> 
EX_cafe_b,cafe_b --> 
EX_hslac_b,hslac_b --> 
EX_RipG1_b,RipG1_b --> 
EX_RSp0518_b,RSp0518_b --> 
EX_5oxpro_b,5oxpro_b --> 
EX_ac_b,ac_b --> 
EX_met_L_ala_L_b,met_L_ala_L_b --> 
EX_RipAV_b,RipAV_b --> 
EX_chtbs_b,chtbs_b --> 
EX_arbtnl_fe3_b,arbtnl_fe3_b --> 
EX_ddca_b,ddca_b --> 
EX_galur3u_b,galur3u_b --> 
EX_orot_b,orot_b --> 
EX_RSp0540_b,RSp0540_b --> 
EX_glcr_b,glcr_b --> 
EX_RSc0102_act_b,RSc0102_act_b --> 
EX_pa181_b,pa181_b --> 
EX_his_L_b,his_L_b --> 
EX_mepyr_b,mepyr_b --> 
EX_2hyoxplac_b,2hyoxplac_b --> 
EX_Egl_b,Egl_b --> 
EX_g3pe_b,g3pe_b --> 
EX_cys_L_b,cys_L_b --> 
EX_no2r_b,no2r_b --> 
EX_RipT_b,RipT_b --> 
EX_RipU2_b,RipU2_b --> 
EX_n2_b,n2_b --> 
EX_pc181_b,pc181_b --> 
EX_RipAE_b,RipAE_b --> 
EX_RipA4_b,RipA4_b --> 
EX_resoc_b,resoc_b --> 
EX_RipAR_b,RipAR_b --> 
EX_RSp0630_b,RSp0630_b --> 
EX_PCW_RSp1545_LPS_b,PCW_RSp1545_LPS_b --> 
EX_ch4s_b,ch4s_b --> 
EX_RipV1_b,RipV1_b --> 
EX_RipB_b,RipB_b --> 
EX_cana_L_b,cana_L_b --> 
EX_cbl1_b,cbl1_b --> 
EX_pc160_b,pc160_b --> 
EX_RSc0887_b,RSc0887_b --> 
EX_quin_kt_b,quin_kt_b --> 
EX_ocdcea_b,ocdcea_b --> 
EX_fusar_b,fusar_b --> 
EX_cu2_b,cu2_b --> 
EX_23cgmp_b,23cgmp_b --> 
EX_indpyr_b,indpyr_b --> 
EX_23camp_b,23camp_b --> 
EX_gthrd_b,gthrd_b --> 
EX_L_dpchrm_b,L_dpchrm_b --> 
EX_3hcinnm_b,3hcinnm_b --> 
EX_PCW_D_Mannose_b,PCW_D_Mannose_b --> 
EX_pect_b,pect_b --> 
EX_hpa_b,hpa_b --> 
EX_asp_L_glu_L_b,asp_L_glu_L_b --> 
EX_selt_b,selt_b --> 
EX_succ_b,succ_b --> 
EX_RipAA_b,RipAA_b --> 
EX_ala_L_glu_L_b,ala_L_glu_L_b --> 
EX_gal_b,gal_b --> 
EX_cro4_b,cro4_b --> 
EX_RipAN_b,RipAN_b --> 
EX_RipG6_b,RipG6_b --> 
EX_5drib_b,5drib_b --> 
EX_zn2_b,zn2_b --> 
EX_EPS_b,EPS_b --> 
EX_RSp0175_b,RSp0175_b --> 
EX_isetac_b,isetac_b --> 
EX_but_b,but_b --> 
EX_pencil_b,pencil_b --> 
EX_dha_b,dha_b --> 
EX_4hba_b,4hba_b --> 
EX_12dgr160_b,12dgr160_b --> 
EX_sbt_D_b,sbt_D_b --> 
EX_pa141_b,pa141_b --> 
EX_RSp1466_b,RSp1466_b --> 
EX_ochslac_b,ochslac_b --> 
EX_23ccmp_b,23ccmp_b --> 
EX_aso3_b,aso3_b --> 
EX_pc120_b,pc120_b --> 
EX_RSp1444_b,RSp1444_b --> 
EX_RSp0295_b,RSp0295_b --> 
EX_novbcn_b,novbcn_b --> 
EX_RSp0745_b,RSp0745_b --> 
EX_ampica_b,ampica_b --> 
EX_RipO1_b,RipO1_b --> 
EX_val_L_b,val_L_b --> 
EX_cytd_b,cytd_b --> 
EX_pro_L_b,pro_L_b --> 
EX_RipAJ_b,RipAJ_b --> 
EX_RSc0104_b,RSc0104_b --> 
EX_3oocta_b,3oocta_b --> 
EX_RSc0249_act_b,RSc0249_act_b --> 
EX_asn_L_b,asn_L_b --> 
EX_bromosucc_b,bromosucc_b --> 
EX_RipG2_b,RipG2_b --> 
EX_tzea_b,tzea_b --> 
EX_pac_b,pac_b --> 
EX_ocdca_b,ocdca_b --> 
EX_PglA_b,PglA_b --> 
EX_RipS5_b,RipS5_b --> 
EX_met_L_b,met_L_b --> 
EX_h2o2_b,h2o2_b --> 
EX_phe_L_b,phe_L_b --> 
EX_PCW_RSp1180_act_pili_b,PCW_RSp1180_act_pili_b --> 
EX_RipY_b,RipY_b --> 
EX_ins_b,ins_b --> 
EX_tre_b,tre_b --> 
EX_RSc0958_b,RSc0958_b --> 
EX_pa160_b,pa160_b --> 
EX_hdca_b,hdca_b --> 
EX_Rsl_b,Rsl_b --> 
EX_polygalurnxu_b,polygalurnxu_b --> 
EX_mesucc_b,mesucc_b --> 
EX_etha_b,etha_b --> 
EX_tyr_L_b,tyr_L_b --> 
EX_pc180_b,pc180_b --> 
EX_RipA5_b,RipA5_b --> 
EX_RSp0103_b,RSp0103_b --> 
EX_fe2_b,fe2_b <=> 
EX_nh4_b,nh4_b <=> 
EX_ohr_b,ohr_b --> 
EX_3ohpame_b,3ohpame_b --> 
EX_RipS1_b,RipS1_b --> 
EX_RipH1_b,RipH1_b --> 
EX_fer_b,fer_b --> 
EX_fecrm_un_b,fecrm_un_b --> 
EX_gly_gln_L_b,gly_gln_L_b --> 
EX_RipAW_b,RipAW_b --> 
EX_ralf_b,ralf_b --> 
EX_pept_b,pept_b --> 
EX_ser_L_b,ser_L_b --> 
EX_hom_L_b,hom_L_b --> 
EX_RSp0881_b,RSp0881_b --> 
EX_DNAf_30kb_b,DNAf_30kb_b --> 
EX_cellb_b,cellb_b --> 
EX_gly_b,gly_b --> 
EX_o2_b,o2_b <=> 
EX_lpd_lpd_b,lpd_lpd_b --> 
EX_RipAZ1_b,RipAZ1_b --> 
EX_esclt_b,esclt_b --> 
EX_im4ac_b,im4ac_b --> 
EX_RipD_b,RipD_b --> 
EX_mincyc_b,mincyc_b --> 
EX_cellos_Expansin_LPS_b,cellos_Expansin_LPS_b --> 
EX_hepthslac_b,hepthslac_b --> 
EX_iad_b,iad_b --> 
EX_4hbz_b,4hbz_b --> 
EX_galt_b,galt_b --> 
EX_glu_L_b,glu_L_b <=> 
EX_frmd_b,frmd_b --> 
EX_RSc3220_b,RSc3220_b --> 
EX_RipAB_b,RipAB_b --> 
EX_chitos_b,chitos_b --> 
EX_glyclt_b,glyclt_b --> 
EX_RipA1_b,RipA1_b --> 
EX_PS_PGA_b,PS_PGA_b --> 
EX_rfamp_b,rfamp_b --> 
EX_thm_b,thm_b --> 
EX_RipAS_b,RipAS_b --> 
EX_12dgr161_b,12dgr161_b --> 
EX_dextrin_b,dextrin_b --> 
EX_ttrcyc_b,ttrcyc_b --> 
EX_fum_b,fum_b --> 
EX_crn_b,crn_b --> 
EX_thr_L_b,thr_L_b --> 
EX_ttdcea_b,ttdcea_b --> 
EX_RipBA_b,RipBA_b --> 
EX_mccdn_b,mccdn_b --> 
EX_PCW_RSc0102_act_b,PCW_RSc0102_act_b --> 
EX_PCW_L_Fucose_Rsl_b,PCW_L_Fucose_Rsl_b --> 
EX_no_b,no_b --> 
EX_galctn_D_b,galctn_D_b --> 
EX_fe3_b,fe3_b <=> 
EX_Prot_b,Prot_b --> 
EX_pyr_b,pyr_b --> 
EX_asp_L_b,asp_L_b --> 
EX_PCW_RSc0104_act_b,PCW_RSc0104_act_b --> 
EX_nac_b,nac_b --> 
EX_pa120_b,pa120_b --> 
EX_h_b,h_b <=> 
EX_3hpp_b,3hpp_b --> 
EX_RipAO_b,RipAO_b --> 
EX_PCW_RSp0295_act_b,PCW_RSp0295_act_b --> 
EX_RSc3188_b,RSc3188_b --> 
EX_acfv_b,acfv_b --> 
EX_pc141_b,pc141_b --> 
EX_pbhb_b,pbhb_b --> 
EX_RipG7_b,RipG7_b --> 
EX_PlcN_b,PlcN_b --> 
EX_PCW_RSp0294_act_b,PCW_RSp0294_act_b --> 
EX_RSp1180_b,RSp1180_b --> 
EX_RipS6_b,RipS6_b --> 
EX_RSp0294_b,RSp0294_b --> 
EX_RipE1_b,RipE1_b --> 
EX_glycogen_b,glycogen_b --> 
EX_tom_b,tom_b --> 
EX_bhb_b,bhb_b --> 
EX_cit_b,cit_b --> 
EX_hxa_b,hxa_b --> 
EX_14aglucan_b,14aglucan_b --> 
EX_RipL_b,RipL_b --> 
EX_adocbl_b,adocbl_b --> 
EX_mso3_b,mso3_b --> 
EX_RSc0246_b,RSc0246_b --> 
EX_gln_L_gly_b,gln_L_gly_b --> 
EX_g3pg_b,g3pg_b --> 
EX_cellos_b,cellos_b --> 
EX_mobd_b,mobd_b <=> 
EX_mnl_b,mnl_b --> 
EX_RSp1536_b,RSp1536_b --> 
EX_co2_b,co2_b <=> 
EX_h2o_b,h2o_b <=> 
EX_RipZ_b,RipZ_b --> 
EX_RipAK_b,RipAK_b --> 
EX_r3rhbb_b,r3rhbb_b --> 
EX_ala_L_asp_L_b,ala_L_asp_L_b --> 
EX_sulfac_b,sulfac_b --> 
EX_RipG3_b,RipG3_b --> 
EX_RipP1_b,RipP1_b --> 
EX_pa161_b,pa161_b --> 
EX_RipS2_b,RipS2_b --> 
EX_RipH2_b,RipH2_b --> 
EX_RSp0275_b,RSp0275_b --> 
EX_RipI_b,RipI_b --> 
EX_pi_b,pi_b <=> 
EX_amob_b,amob_b --> 
EX_arbtnl_b,arbtnl_b --> 
EX_asp_L_asp_L_b,asp_L_asp_L_b --> 
EX_RSp1545_b,RSp1545_b --> 
EX_RSc0249_b,RSc0249_b --> 
EX_gsn_b,gsn_b --> 
EX_Tek_28kd_b,Tek_28kd_b --> 
EX_asp_L_ala_L_b,asp_L_ala_L_b --> 
EX_hexhslac_b,hexhslac_b --> 
EX_pad_b,pad_b --> 
EX_xan_b,xan_b --> 
EX_taur_b,taur_b --> 
EX_RSp1073_b,RSp1073_b --> 
EX_catechol_b,catechol_b --> 
EX_g3pc_b,g3pc_b --> 
EX_spmd_b,spmd_b --> 
EX_PCW_D_Mannose_Rsl2_b,PCW_D_Mannose_Rsl2_b --> 
EX_arg_L_b,arg_L_b --> 
EX_glyc_b,glyc_b --> 
EX_sucr_b,sucr_b --> 
EX_RSc0246_act_b,RSc0246_act_b --> 
EX_so4_b,so4_b <=> 
EX_h2s_b,h2s_b --> 
EX_3hoxid_b,3hoxid_b --> 
EX_5mtr_b,5mtr_b --> 
EX_gln_L_glu_L_b,gln_L_glu_L_b --> 
EX_RipAG_b,RipAG_b --> 
EX_ade_b,ade_b --> 
EX_fru_b,fru_b --> 
EX_RipAT_b,RipAT_b --> 
EX_2feooh_b,2feooh_b --> 
EX_naldx_b,naldx_b --> 
EX_PCW_RSp1539_LPS_b,PCW_RSp1539_LPS_b --> 
EX_glcur_b,glcur_b --> 
EX_uri_b,uri_b --> 
EX_cd2_b,cd2_b --> 
EX_glyc2p_b,glyc2p_b --> 
EX_ind3ac_b,ind3ac_b --> 
EX_ampi_b,ampi_b --> 
EX_bz_b,bz_b --> 
EX_ca2__b,ca2__b --> 
EX_RipTPS_b,RipTPS_b --> 
EX_RipAC_b,RipAC_b --> 
EX_fe3mccdn_b,fe3mccdn_b --> 
EX_no2_b,no2_b --> 
EX_RipA2_b,RipA2_b --> 
EX_gln_L_b,gln_L_b --> 
EX_cl_b,cl_b <=> 
EX_hxan_b,hxan_b --> 
EX_RipAP_b,RipAP_b --> 
EX_hg2_b,hg2_b --> 
EX_pc140_b,pc140_b --> 
EX_RipQ_b,RipQ_b --> 
EX_meoh_b,meoh_b --> 
EX_4abut_b,4abut_b --> 
EX_galct_D_b,galct_D_b --> 
EX_RSc3430_b,RSc3430_b --> 
EX_12dgr140_b,12dgr140_b --> 
EX_PCW_b,PCW_b --> 
EX_RipBB_b,RipBB_b --> 
EX_g3ps_b,g3ps_b --> 
EX_k_b,k_b <=> 
EX_2obut_b,2obut_b --> 
EX_pencilca_b,pencilca_b --> 
EX_14bglucan_b,14bglucan_b --> 
EX_Tek2_28kd_b,Tek2_28kd_b --> 
EX_peroxyl_lpd_b,peroxyl_lpd_b --> 
EX_acon_C_b,acon_C_b --> 
EX_4hphac_b,4hphac_b --> 
EX_acpc_b,acpc_b --> 
EX_idon_L_b,idon_L_b --> 
EX_11cu2s_CopA_b,11cu2s_CopA_b --> 
EX_12dgr180_b,12dgr180_b --> 
EX_na1_b,na1_b <=> 
EX_etle_b,etle_b --> 
EX_inost_b,inost_b --> 
EX_23cump_b,23cump_b --> 
EX_urea_b,urea_b --> 
EX_RipAL_b,RipAL_b --> 
EX_chol_b,chol_b --> 
EX_RipM_b,RipM_b --> 
EX_RSp1139_b,RSp1139_b --> 
EX_ttdca_b,ttdca_b --> 
EX_RipG4_b,RipG4_b --> 
EX_RipP2_b,RipP2_b --> 
EX_id3acald_b,id3acald_b --> 
EX_CbhA_b,CbhA_b --> 
EX_PCW_RSp0540_LPS_b,PCW_RSp0540_LPS_b --> 
EX_adn_b,adn_b --> 
EX_RipF1_b,RipF1_b --> 
EX_acglu_b,acglu_b --> 
EX_cobalt2_b,cobalt2_b <=> 
EX_butso3_b,butso3_b --> 
EX_br_b,br_b --> 
EX_cu_b,cu_b --> 
EX_RipJ_b,RipJ_b --> 
EX_dcahslac_b,dcahslac_b --> 
EX_Expansin_b,Expansin_b --> 
EX_lac_L_b,lac_L_b --> 
EX_RipAX1_b,RipAX1_b --> 
EX_ctbt_b,ctbt_b --> 
EX_ind3acnl_b,ind3acnl_b --> 
EX_RipAH_b,RipAH_b --> 
EX_PCW_L_Fucose_b,PCW_L_Fucose_b --> 
EX_skm_b,skm_b --> 
EX_doxrbcn_b,doxrbcn_b --> 
EX_PS_RS_b,PS_RS_b --> 
EX_acser_b,acser_b --> 
EX_ile_L_b,ile_L_b --> 
EX_RSp1620_b,RSp1620_b --> 
EX_RipH3_b,RipH3_b --> 
EX_RSc0337_b,RSc0337_b --> 
EX_RipS3_b,RipS3_b --> 
EX_16aglucan_b,16aglucan_b --> 
EX_fusa_b,fusa_b --> 
EX_RipAY_b,RipAY_b --> 
EX_RSc3151_b,RSc3151_b --> 
EX_RipW_b,RipW_b --> 
EX_mal_L_b,mal_L_b --> 
EX_RSp1180_act_b,RSp1180_act_b --> 
EX_fald_b,fald_b --> 
EX_12dgr120_b,12dgr120_b --> 
